creativeID,brand,"successclick
",successconversion
4079,191,2890,10
4565,56,4.49E+05,11622
3170,1400,387,5
6566,1400,224,1
5187,56,1.41E+05,2277
6440,56,21148,897
2367,803,137,0
4686,191,5445,15
2553,56,44013,601
5832,1400,162,2
2392,1400,251,2
5942,161,478,1
5949,191,21728,53
1273,161,7,0
3981,308,14636,908
4008,191,3076,4
6377,191,11848,28
2438,56,11856,256
697,153,2169,23
5184,93,129,0
1994,153,6592,125
2989,191,8815,19
6522,381,4752,274
3321,56,696,147
750,101,3654,43
2280,56,2019,46
4862,1400,307,4
1004,56,36168,419
3307,191,7584,17
5458,93,47,0
1882,160,11244,537
4122,7,179,0
4682,153,1507,9
5623,101,1228,10
3320,101,2868,32
4538,24,545,0
4250,56,1.11E+05,2077
5175,101,1709,15
6241,56,48988,1927
1451,308,9021,377
102,308,1579,253
3642,1400,953,17
3973,153,26097,477
2902,161,5,0
6471,1400,18,0
376,53,1.24E+05,5245
973,8,12497,2622
3465,56,78029,1218
5610,56,12178,346
1456,56,1.36E+05,3452
2566,59,64,0
2522,191,1925,3
72,35,43416,787
4432,56,88363,1775
1993,191,1636,3
32,191,5003,10
4705,1400,1090,15
1006,161,222,0
5209,53,56433,1742
689,53,4525,13
6201,153,3080,24
5332,153,2857,31
262,308,742,86
5030,35,17971,405
5886,35,15629,256
2703,191,3983,7
2002,56,9907,288
6490,191,3129,9
1698,24,2127,0
5258,2,4467,40
177,93,21948,2526
5740,1400,1599,11
3284,1400,1972,22
2284,191,3745,11
4444,191,16947,38
58,308,7386,110
1795,161,64,0
1069,35,1521,34
3293,191,3800,10
1198,61,43,0
3093,56,15552,451
5318,4,335,3
4637,59,4605,0
1543,381,11621,1265
3024,191,825,2
6193,1400,549,3
1540,56,96184,1356
51,56,18852,181
784,191,12903,31
34,56,15367,580
898,308,9835,322
1341,13,3418,152
3013,1400,206,0
4465,56,89089,1485
4373,153,9217,101
6036,53,3490,175
6317,47,2164,50
2198,381,1697,57
3745,191,11946,18
1465,47,22679,730
3361,50,10137,139
1821,28,5150,112
6387,56,18342,216
1918,53,4457,26
1537,56,16031,99
863,56,63869,1341
37,1400,29,1
6061,193,375,2
896,93,23,0
6185,93,72,0
3305,37,6507,41
1675,56,81333,1362
869,93,33,0
3884,24,6657,0
3722,53,1512,19
1612,56,6224,96
2875,22,1046,3
1259,191,9706,18
5378,403,4724,283
4336,93,320,1
2982,56,43978,426
1946,93,66,0
5943,56,21435,706
3732,308,2006,13
3586,56,17163,159
4756,803,129,0
6581,111,250,0
6278,1400,264,6
6444,78,3417,221
5584,53,283,1
2113,381,1607,43
985,56,21542,224
3090,381,6760,516
2240,24,46,0
4169,191,2923,5
5066,1400,68,0
3780,191,1526,2
4785,153,7342,118
4254,22,1792,10
709,803,19,0
860,1400,69,0
5736,101,1329,83
464,101,1096,11
5747,191,2470,3
997,191,2860,2
6364,403,117,1
5877,191,3238,6
3347,7,935,74
2623,78,2905,48
3566,1400,245,5
1234,1400,893,12
4328,55,80,2
6520,4,210,0
5161,191,801,3
3531,191,2899,6
594,191,4830,9
728,803,152,0
1486,53,11525,227
4843,34,135,4
2137,53,18188,799
6004,1400,319,3
527,1400,136,1
4113,153,1750,13
2590,1400,168,3
4357,93,39,0
4725,7,8343,96
4322,1,3533,118
382,1400,133,1
4094,1400,33,0
4845,1400,192,0
5231,1400,138,0
1513,1400,131,3
2439,1400,297,3
1268,1400,177,7
733,101,1179,24
5540,1400,3399,26
726,35,15435,241
5588,35,37149,1139
5906,403,232,33
1518,50,373,5
6511,93,47,0
5668,3,605,1
5163,78,124,3
5307,35,3974,35
3518,191,5650,13
1854,2,4680,147
1927,35,335,7
3594,1400,36,0
3353,35,43349,2520
4934,308,1135,53
522,1400,449,4
6141,308,3,0
4671,191,3169,8
5598,1400,733,11
3296,78,6397,377
584,13,5290,202
1433,53,2923,50
6310,191,1360,2
4077,93,9491,1177
2639,1400,3,0
3257,381,160,11
6266,153,255,18
5122,78,4207,161
4887,35,2201,25
2764,56,19512,219
5980,1400,295,2
319,1400,578,4
3439,1400,560,1
1473,1400,368,2
5036,1400,453,4
1253,1400,828,6
1765,191,234,0
6567,308,2134,336
2122,56,21726,180
1128,8,9358,1692
615,93,10125,1393
4493,78,2009,85
369,191,14768,28
150,42,5867,509
2387,191,351,0
1709,803,311,0
3869,56,57342,823
3555,1400,231,2
3423,59,72,0
6423,93,40,0
2478,153,1822,152
4228,8,9865,2251
4699,53,604,19
3957,28,138,11
5723,1400,347,4
3626,1400,1975,14
1830,1400,684,12
5095,50,4819,20
1825,1400,171,0
1409,42,3194,267
2603,1400,105,0
4131,191,3718,6
2537,53,39468,803
2235,56,28052,276
2521,1400,164,1
198,35,7666,164
4164,1400,61,0
6496,56,18648,183
5575,1400,1453,16
4830,1400,923,13
3765,1400,38,0
4802,1400,62,0
3398,803,188,1
845,803,62,1
173,803,21,0
5180,42,3611,136
5368,78,80,2
2225,803,123,2
3671,53,3524,97
1035,803,2,0
5656,53,705,18
3497,53,1422,53
4732,1400,545,6
4757,191,1676,7
1887,53,5998,245
2375,803,132,0
3178,1400,323,3
4106,37,59,1
5364,1400,783,5
6149,1400,621,8
5137,191,920,6
4668,1400,1076,15
6515,161,47,0
4239,403,418,31
3035,50,2552,13
4660,1400,16,0
2864,803,36,0
1238,56,12559,122
383,1400,406,3
2179,1400,2053,15
3476,1400,15,0
2586,1400,57,0
2287,1400,42,0
714,1400,22,1
3298,1400,231,1
6326,56,3770,120
5559,1400,89,1
5594,56,1988,118
6534,1400,1958,40
4620,803,31,0
3376,803,30,0
5772,1400,49,0
3114,50,329,0
3857,1400,65,0
4032,8,581,73
5940,803,24,0
183,1400,40,0
74,53,3363,56
1083,1400,1010,12
22,78,650,66
2571,1400,80,2
3062,1400,423,3
874,1400,121,2
690,1400,206,3
643,1400,392,8
3447,1400,497,7
3356,1400,651,5
1402,803,8,0
623,803,4,0
6411,53,208,5
6137,59,495,0
1617,37,6484,55
578,93,310,9
62,803,159,1
5734,1400,273,1
1166,191,2285,3
4892,22,1355,17
279,78,162,2
5738,93,35,0
5603,161,9,0
247,1400,54,1
3511,50,1386,55
5492,93,44,0
6517,93,81,0
1901,403,110,4
5186,191,10692,30
6452,403,77,4
1133,53,4035,54
1061,93,216,3
4494,59,2484,0
2386,191,6750,10
4215,35,746,232
4533,111,48,2
3408,53,8164,41
2860,1400,73,0
2432,1400,8,0
2884,191,767,3
3809,55,153,1
5176,191,5341,16
2302,308,9683,123
3546,35,1164,5
2489,1400,181,1
3688,1400,257,1
5044,191,2986,2
648,191,800,1
5395,1400,431,1
5662,7,1223,108
428,1400,367,2
490,1400,348,1
1489,381,5997,202
3403,93,119,5
486,5,5751,662
3487,50,2552,38
2736,191,3346,4
4480,78,1928,19
5638,52,46,1
6497,1400,24,0
39,803,32,0
2576,803,123,0
5897,52,325,14
456,161,231,0
2651,403,4,0
4763,191,447,0
2630,17,2539,91
4503,53,6884,36
1941,15,1376,0
1448,93,959,0
2935,93,28,0
5616,803,190,0
4430,153,351,1
5296,101,640,2
5345,1400,1208,7
6559,7,892,72
6344,1400,8,0
1512,191,1557,0
230,59,29,0
4181,42,2086,128
5855,1400,1217,15
1971,28,4154,85
2965,55,115,0
4409,191,455,0
5767,8,214,38
2469,1400,133,3
4958,1400,342,3
6162,191,781,3
5065,1400,756,10
829,1400,470,3
994,1400,215,2
3249,803,33,0
2808,56,6479,179
474,160,13,0
1645,803,127,0
3641,101,137,4
5325,803,115,0
3012,803,143,0
3918,803,175,1
4302,55,122,0
4775,56,256,13
4069,1400,207,3
665,93,3004,434
3441,191,2540,8
5528,50,587,13
3584,53,728,35
1924,1400,286,3
4578,1400,254,5
299,111,713,0
4657,191,739,4
2828,8,205,29
5548,4,406,0
5462,191,791,4
2305,1400,253,5
1389,101,1179,4
4640,1400,180,5
236,1400,67,0
4062,53,636,15
2463,1400,177,0
1047,42,191,6
83,25,23,0
5005,1400,3018,33
5791,1400,82,0
3788,1400,244,0
4291,803,99,0
2866,24,1087,0
1604,381,278,9
4511,35,2541,24
656,803,35,0
1963,191,6232,19
1891,803,22,0
612,160,28,0
3901,803,7,0
1204,803,11,0
1865,803,7,0
6312,803,13,0
982,55,183,1
2839,50,44,0
6220,56,1463,72
5342,56,2790,141
577,50,229,0
2182,803,37,0
3747,1400,69,0
6244,1400,17,1
3892,93,64,0
1938,1400,1561,24
6,803,149,1
3420,22,1304,7
2330,191,330,1
1064,37,1733,17
1524,1400,380,3
179,1400,273,1
3338,1400,248,6
3875,59,3072,1
6392,803,31,0
4039,1400,16,0
5500,803,27,0
6100,50,1491,6
107,1400,136,0
3904,1400,654,13
159,803,127,1
960,1400,4,0
3631,1400,124,0
5026,1400,58,1
2044,1400,43,1
979,1400,582,5
1445,53,462,0
6122,803,26,0
3945,803,137,2
2021,1400,134,0
5817,42,1809,74
3526,93,17,0
4882,191,2951,10
3236,1400,76,1
721,191,171,1
5543,1400,61,0
3893,56,565,37
3292,1400,620,2
193,1400,950,3
6281,803,128,2
6239,1400,422,2
4457,803,116,1
5473,1400,2363,29
4998,1400,310,9
4423,47,368,6
3934,191,1285,0
4455,1400,179,3
2693,1400,927,3
215,1400,76,0
5968,1400,204,6
5630,93,40,0
3496,403,93,15
5360,403,251,16
2374,53,909,3
5884,308,118,0
613,803,112,0
3536,29,717,87
4084,59,567,0
5448,803,17,0
4401,93,240,1
5148,1400,222,5
5336,191,2072,73
3075,191,3482,13
3381,1400,64,0
4121,7,571,32
6397,50,3698,399
2658,153,2513,36
3491,1400,108,1
1162,1400,204,4
2530,55,106,0
619,93,63,1
4443,160,16,0
6367,1400,79,1
1264,191,939,2
2497,1400,340,2
1063,1400,17,1
4747,803,190,1
2823,381,88,2
553,1400,309,1
4208,803,27,0
2085,803,26,0
1815,50,300,7
2212,803,114,0
6527,803,131,0
732,153,788,36
1229,1400,43,0
275,56,669,28
761,1400,147,1
4125,78,174,2
5992,1400,240,2
5146,1400,38,0
5861,56,4263,105
5003,101,139,3
128,381,829,41
3480,308,1681,250
3966,47,90,1
5436,1400,12,0
5226,803,143,0
2372,93,67,0
1205,381,47,10
4854,1400,70,0
1958,1400,3,0
144,53,1303,95
184,37,1960,24
993,1400,326,1
1279,1400,257,4
2711,191,3625,8
5654,803,28,0
5682,1400,202,1
6542,803,208,0
1110,381,1228,24
5147,41,634,43
3850,803,27,0
316,803,34,0
3834,1400,12,0
2580,1400,63,0
3965,1400,57,0
599,1400,18,0
5072,1400,51,1
176,1400,14,0
1298,1400,156,0
3137,1400,2,0
2051,1400,15,0
4997,803,136,1
2773,93,45,0
5917,1400,1181,13
5086,1400,124,3
6293,1400,16,0
1362,1400,9,0
1015,803,136,0
6153,1400,30,0
4553,93,35,0
329,403,69,6
3107,50,296,7
1142,35,902,300
2318,55,97,0
457,1400,551,7
99,161,5,0
4088,59,27,0
1492,191,212,0
6271,59,259,0
2861,1400,20,0
289,22,135,0
2834,153,180,16
1085,403,1097,111
1217,93,67,0
3113,381,1258,37
3014,803,105,0
5622,803,107,0
2969,803,141,0
2642,1400,1772,23
682,1400,221,3
777,14,66,1
5331,193,163,3
274,5,3108,356
263,161,9,0
5106,381,160,5
2883,93,63,0
1828,1400,131,2
708,35,42,2
6388,93,38,0
5261,93,43,1
1952,153,3478,54
3449,161,2,0
4801,191,1228,2
2074,1400,128,1
3341,403,550,73
5385,381,13,0
5211,1400,8,1
4602,56,177,6
6371,5,895,70
1212,1400,22,0
389,35,198,2
2143,101,932,6
5989,1400,3,0
2829,35,2138,90
5227,1400,18,0
5284,1400,4,0
3311,1400,6,0
5083,1400,1004,10
4937,1400,752,8
5322,803,125,2
6501,1400,86,2
5687,56,9691,269
2761,56,404,15
3899,1400,198,2
5037,93,54,0
5264,1400,639,10
1437,1400,169,1
6434,160,5,0
4993,1400,16,0
17,1400,9,0
445,1400,193,6
4234,803,132,1
3362,803,132,0
882,1400,86,0
3618,1400,209,3
2608,191,592,1
4902,803,129,1
205,1400,47,0
593,1400,170,6
1843,191,1218,1
4745,191,206,0
800,1400,227,1
3818,803,29,0
3273,403,43,3
4247,803,133,1
393,191,1370,4
1784,56,148,31
4080,1400,407,9
542,1400,769,7
6113,803,130,1
2597,93,46,0
1573,93,47,0
510,93,49,0
2275,34,15,0
6333,35,986,34
5536,35,2166,100
5661,53,1047,62
3764,93,5,0
396,14,8,0
2239,153,1951,14
2,1400,4,0
2852,35,1316,22
3310,53,416,2
2055,403,621,71
2360,1400,178,1
3169,803,119,0
2862,1400,230,8
3263,161,3,0
6474,161,12,0
1275,803,25,0
73,1400,109,3
1393,1400,12,0
1003,1400,323,1
6402,1400,373,7
3355,53,353,2
3533,1400,217,3
2574,381,434,61
2270,1400,137,3
3457,50,290,3
6184,50,317,2
3154,403,473,50
4737,160,3,0
4893,50,228,6
2277,191,1458,3
5078,1400,23,0
545,803,147,0
3874,1400,437,7
783,803,22,0
3121,1400,1275,13
5346,50,465,1
3971,1400,7,0
3223,1400,148,1
5717,1400,34,0
6032,55,21,0
1794,93,53,0
4482,1400,87,2
410,308,2384,31
4242,803,19,0
2996,803,14,0
5064,1400,27,0
4537,803,140,1
6110,803,116,0
5100,1400,108,0
5294,93,76,1
678,1400,91,3
4420,35,508,11
5805,403,66,5
4635,381,992,27
6104,34,71,2
2840,42,415,34
1187,59,1454,0
1223,803,133,1
1281,56,989,182
485,803,153,0
3187,1400,14,0
2930,50,1064,52
5596,161,12,1
4670,1400,36,0
3545,381,978,229
54,1400,371,2
4540,93,42,0
639,191,165,0
4981,93,178,5
780,1400,19,1
5946,160,27,0
2671,93,464,46
1117,161,2,0
4689,50,842,45
6179,191,205,0
4568,1400,214,3
